144. When using Amazon RDS databases, which items are you charged for? (Select TWO.)	A. Inbound data transfer	B. Multi AZ	C. Single AZ	D. Backup up to the DB size	E. Outbound data transfer	BE
145. How are AWS Lambda functions triggered? © 2024 Digital Cloud Training 172	A. Events	B. Schedules	C. Metrics	D. Counters	A	
146. Which tool can be used to provide real time guidance on provisioning resources following AWS best practices?	A. AWS Trusted Advisor	B. AWS Simple Monthly Calculator	C. AWS Inspector	D. AWS Personal Health Dashboard	A	
147. When performing a total cost of ownership (TCO) analysis between on-premises and the AWS Cloud, which factors are only relevant to on-premises deployments? (Select TWO.)	A. Hardware procurement teams	B. Operating system licensing	C. Facility operations costs	D. Database administration	E. Application licensing	AC
148. How does “elasticity” benefit an application design?	A. By reducing interdependencies between application components	B. By automatically scaling resources based on demand	C. By selecting the correct storage tier for your workload	D. By reserving capacity to reduce cost	B	
149. What is the benefit of using fully managed services compared to deploying 3rd party software on EC2?	A. You don’t need to back-up your data	B. Improved security	C. Reduced operational overhead	D. You have greater control and flexibility	C	
150. What are the fundamental charges for an Amazon EC2 instance? (Select TWO.)	A. Basic monitoring	B. Data storage	C. Server uptime	D. AMI	E. Private IP address	BC
151. Which AWS service uses a highly secure hardware storage device to store encryption keys?	A. AWS CloudHSM	B. AWS IAM	C. Amazon Cloud Directory	D. AWS WAF	A	
152. Which type of security control can be used to deny network access from a specific IP address?	A. AWS Shield	B. AWS WAF	C. Network ACL	D. Security Group	C	
153. Which service can be used to manage configuration versions?	A. AWS Service Catalog	B. AWS Artifact	C. Amazon Inspector	D. AWS Config	D	
154. Which aspects of security on AWS are customer responsibilities? (Select TWO.)	A. Setting up account password policies	B. Physical access controls	C. Server-side encryption	D. Patching of storage systems	E. Availability of AWS regions	AC
155. Which of the following are architectural best practices for the AWS Cloud? (Select TWO.)	A. Deploy into multiple Availability Zones	B. Deploy into a single availability zone	C. Close coupling	D. Design for fault tolerance	E. Create monolithic architectures	AD
156. To reduce the price of your Amazon EC2 instances, which term lengths are available for reserved instances? (Select TWO.)	A. 4 years	B. 1 year	C. 5 years	D. 2 years	E. 3 years	BE
157. What are the fundamental charges for Elastic Block Store (EBS) volumes? (Select TWO.)	A. The amount of data storage provisioned	B. The amount of data storage consumed	C. Number of snapshots	D. Provisioned IOPS	E. Inbound data transfer	AD
158. What is the most cost-effective Amazon S3 storage tier for data that is not often accessed but requires high availability?	A. Amazon S3 Standard-IA	B. Amazon S3 Standard	C. Amazon S3 One Zone-IA	D. Amazon Glacier	A	
159. What is the main benefit of the principle of “loose coupling”?	A. Reduce operational complexity	B. Reduce interdependencies so a failure in one component does not cascade to other components	C. Automate the deployment of infrastructure using code	D. Enables applications to scale automatically based on current demand	B	
160. Which Amazon EC2 billing option gives you low cost, maximum flexibility, no upfront costs or commitment, and you only pay for what you use?	A. Dedicated Host	B. Spot Instances	C. Reserved Instances	D. On-Demand Instances	D	
161. Where can resources be launched when configuring Amazon EC2 Auto Scaling?	A. A single subnet	B. Multiple AZs within a region	C. Multiple AZs and multiple regions	D. Multiple VPCs	B	
162. Which service can be used to improve performance for users around the world?	A. AWS LightSail	B. Amazon CloudFront	C. Amazon Connect	D. Amazon ElastiCache	B	
163. Which of the below are components that can be configured in the VPC section of the AWS management console? (Select TWO.)	A. EBS volumes	B. Subnet	C. Endpoints	D. DNS records	E. Elastic Load Balancer	
164. Which of the following is a benefit of moving to the AWS Cloud?	A. Outsource all IT operations	B. Pay for what you use	C. Capital purchases	D. Long term commitments		
165. In addition to DNS services, what other services does Amazon Route 53 provide? (Select TWO.)	A. DHCP	B. Caching	C. Domain registration	D. IP Routing	E. Traffic flow	CE
166. What can be assigned to an IAM user? (Select TWO.)	A. An access key ID and secret access key	B. An SSL/TLS certificate	C. A key pair	D. A password for logging into Linux	E. A password for access to the management console	AE
167. The AWS acceptable use policy for penetration testing allows?	A. Customers to carry out security assessments or penetration tests against their AWS infrastructure without prior approval for selected services	B. Customers to carry out security assessments or penetration tests against their AWS infrastructure after obtaining authorization from AWS	C. AWS to perform penetration testing against customer resources without notification	D. Authorized security assessors to perform penetration tests against any AWS customer without authorization	A	
168. Which type of connection should be used to connect an on-premises data center with the AWS cloud that is high speed, low latency and does not use the Internet?	A. Direct Connect	B. VPC Endpoints	C. AWS Managed VPN	D. Client VPN	A	
169. Which of the advantages of cloud listed below is most closely addressed by the capabilities of AWS Auto Scaling?  185 © 2024 Digital Cloud Training	A. Benefit from massive economies of scale	B. Stop guessing about capacity	C. Stop spending money running and maintaining data centers	D. Go global in minutes	B	
170. Which statement is correct in relation to the AWS Shared Responsibility Model?	A. AWS are responsible for the security of regions and availability zones	B. Customers are responsible for patching storage systems	C. AWS are responsible for encrypting customer data	D. Customers are responsible for security of the cloud	A	
171. Which of the following is an advantage of cloud computing compared to deploying your own infrastructure on-premise?	A. Flexibility to choose your own hardware	B. Spend using a CAPEX model	C. Paying only for what you use	D. Ability to choose bespoke infrastructure configurations	C	
172. Which service can be added to a database to provide improved performance for some requests?	A. Amazon RedShift	B. Amazon EFS	C. Amazon ElastiCache	D. Amazon RDS	C	
173. Which service can be used to assign a policy to a group?	A. AWS IAM	B. Amazon Cognito	C. Amazon STS	D. AWS Shield	A	
174. Which AWS service lets you add user sign up, sign-in and access control to web and mobile apps?	A. AWS Artifact	B. Amazon Cognito	C. AWS CloudHSM	D. AWS Directory Service	B	
175. What is the difference between an EBS volume and an Instance store?	A. EBS volumes are object storage devices whereas Instance store volume are block based	B. Instance store volumes are ephemeral whereas EBS volumes are persistent storage	C. Instance store volumes can be used with all EC2 instance types whereas EBS cannot	D. EBS volumes are file-level storage devices whereas Instance store volumes are object-based	B	
176. What are two components of Amazon S3? (Select TWO.)	A. Buckets	B. Directories	C. Objects	D. Block devices	E. File systems	AC
177. Which of the below are good use cases for a specific Amazon EC2 pricing model? (Select TWO.)	A. Reserved instances for steady state predictable usage	B. On-demand for regulatory requirements that do not allow multi-tenant virtualization	C. On-demand for ad-hoc requirements that cannot be interrupted	D. Spot for consistent load over a long term	E. Reserved instances for applications with flexible start and end times	AC
178. Which of the following security related activities are AWS customers responsible for? (Select TWO.)	A. Secure disposal of faulty disk drives	B. Implementing data center access controls	C. Installing patches on network devices	D. Installing patches on Windows operating systems	E. Implementing IAM password policies	DE
179. An organization has an on-premises cloud and accesses their AWS Cloud over the Internet. How can they create a private hybrid cloud connection that avoids the internet?	A. AWS Direct Connect	B. AWS Managed VPN	C. AWS VPN CloudHub	D. AWS VPC Endpoint	A	
180. Which team is available to support AWS customers on an Enterprise support plan with account issues?	A. AWS Technical Support	B. AWS Billing and Accounts	C. AWS Concierge	D. AWS Technical Account Manager	C	
181. What are two examples of the advantages of cloud computing? (Select TWO.)	A. Increase speed and agility	B. Trade operating costs for capital costs	C. Secure data centers	D. Benefit from massive economies of scale	E. Trade variable expense for capital expense	AD
182. Which of the following is an architectural best practice recommended by AWS?	A. Design for success	B. Design for failure	C. Think servers, not services	D. Use manual operational processes	B	
183. What is the scope of an Amazon Virtual Private Cloud (VPC)?	A. It spans a single CIDR block	B. It spans all Availability Zones within a region	C. It spans multiple subnets	D. It spans all Availability Zones in all regions	B	
184. Which AWS service allows you to automate the evaluation of recorded configurations against desired configuration?	A. AWS OpsWorks	B. AWS Service Catalog	C. AWS CloudFormation	D. AWS Config	D	
185. Which of the options below are recommendations in the reliability pillar of the well-architected framework? (Select TWO.)	A. Test recovery procedures	B. Manually recover from failure	C. Manage change in manual processes	D. Stop guessing about capacity	E. Scale vertically using big systems	AD
186. Which storage type can be mounted using the NFS protocol to many EC2 instances simultaneously?	A. Amazon Instance Store	B. Amazon EBS	C. Amazon S3	D. Amazon EFS	D	
187. Which Amazon RDS deployment type is best used to enable fault tolerance in the event of the failure of an availability zone?	A. Multiple Regions	B. Read Replicas	C. Write Replicas	D. Multiple Availability Zones	D	
188. Which feature of AWS IAM enables you to identify unnecessary permissions that have been assigned to users?	A. Role Advisor	B. Access Advisor	C. Permissions Advisor	D. Group Advisor	B	
189. What types of monitoring can Amazon CloudWatch be used for? (Select TWO.)	A. Infrastructure	B. Data center	C. Operational health	D. API access	E. Application performance	CE
190. Which AWS service enables hybrid cloud storage between on-premises and the AWS Cloud?	A. Amazon S3 Cross Region Replication (CRR)	B. AWS Storage Gateway	C. Amazon Elastic File System (EFS)	D. Amazon CloudFront	B	
191. What does an organization need to do to move to another AWS region?	A. Just start deploying resources in the additional region	B. Create a separate IAM account for that region	C. Apply for another AWS account in that region	D. Submit an application to extend their account to the additional region	A	
192. Which Compute service should be used for running a Linux operating system upon which you will install custom software?	A. Amazon EC2	B. Amazon ECS	C. Amazon EKS	D. AWS Lambda	A	
193. Which of the following need to be included in a total cost of ownership (TCO) analysis? (Select TWO.)	A. IT Manager salary	B. Facility equipment installation	C. Application development	D. Company-wide marketing	E. Data center security costs	BE
194. What does an organization need to do in Amazon IAM to enable user access to services being launched in new region?	A. Nothing, IAM is global	B. Enable global mode in IAM to provision the required access	C. Update the user accounts to allow access from another region	D. Create new user accounts in the new region	A	
195. Which statement is true in relation to data stored within an AWS Region?	A. Data is not replicated outside of a region unless you configure it	B. Data is always replicated to another region	C. Data is automatically archived after 90 days	D. Data is always automatically replicated to at least one other availability zone	A	
196. An organization has multiple AWS accounts and uses a mixture of on-demand and reserved instances. One account has a considerable amount of unused reserved instances. How can the organization reduce their costs? (Select TWO.)	A. Create an AWS Organization configuration linking the accounts	B. Use Spot instances instead	C. Redeem their reserved instances	D. Setup consolidated billing between the accounts	E. Switch to using placement groups	AD
197. Which AWS service can be used to prepare and load data for analytics using an extract, transform and load (ETL) process?	A. AWS Lambda	B. AWS Glue	C. Amazon EMR	D. Amazon Athena	B	
198. Which AWS service can be used to send automated notifications to HTTP endpoints?	A. Amazon SQS	B. Amazon SWF	C. Amazon SNS	D. Amazon SES	C	
199. Which of the following constitute the five pillars for the AWS Well-Architected Framework? (Select TWO.)	A. Operational excellence, security, and reliability	B. Operational excellence, elasticity and scalability	C. Cost prioritization, and cost optimization	D. Data consistency, and cost optimization	E. Performance efficiency, and cost optimization	AE
200. Assuming you have configured them correctly, which AWS services can scale automatically without intervention? (Select TWO.)	A. Amazon RDS	B. Amazon EC2	C. Amazon S3	D. Amazon DynamoDB	E. Amazon EBS	CD
201. Which AWS components aid in the construction of fault-tolerant applications? (Select TWO.)	A. Elastic IP addresses	B. ARNs	C. AMIs	D. Tags	E. Block device mappings	AC
202. A company wants to utilize a pay as you go cloud model for all of their applications without CAPEX costs and which is highly elastic. Which cloud delivery model will suit them best?	A. Public	B. Private	C. Hybrid	D. On-premise	A	
203. Which of the following are advantages of using the AWS cloud computing over legacy IT? (Select TWO.)	A. You are able to pass responsibility for the availability of your application to AWS	B. You don't need to worry about over provisioning as you can elastically scale	C. You don't need to patch your operating systems	D. You can bring new applications to market faster	E. You can bring services closer to your end users	BD
204. Which AWS services form the app-facing services of the AWS serverless infrastructure? (Select TWO.)	A. AWS Step Functions	B. AWS Lambda	C. Amazon API Gateway	D. Amazon DynamoDB	E. Amazon EFS	BC
205. What is the name of the AWS managed Docker registry service used by the Amazon Elastic Container Service (ECS)?	A. Elastic Container Registry	B. ECS Container Registry	C. Docker Container Registry	D. Docker Image Repository	A	
206. What are two benefits of using AWS Lambda? (Select TWO.)	A. No servers to manage	B. Integrated snapshots	C. Continuous scaling (scale out)	D. Flexible operating system choices	E. Open source software	AC
207. With which service can a developer upload code using a ZIP or WAR file and have the service handle the end-to-end deployment of the resources?	A. AWS CodeDeploy	B. AWS Elastic Beanstalk	C. Amazon ECS	D. AWS CodeCommit	B	
208. Which service can you use to monitor, store and access log files generated by EC2 instances and on-premises servers?	A. AWS CloudTrail	B. AWS OpsWorks	C. Amazon CloudWatch Logs	D. Amazon Kinesis	C	
209. What offerings are included in the Amazon Lightsail product set? (Select TWO.)	A. Virtual Private Server	B. NoSQL database	C. Managed MySQL database	D. Object storage	E. Serverless functions	AC
210. Which AWS service is part of the suite of serverless services and runs code as functions?	A. Amazon ECS	B. Amazon EKS	C. AWS Lambda	D. AWS CodeCommit	C	
211. To reward customers for using their services, what are two ways AWS reduce prices? (Select TWO.)	A. Volume based discounts when you use more services	B. Reduction in inbound data transfer charges	C. Reduced cost for reserved capacity	D. Discounts for using a wider variety of services	E. Removal of termination fees for customers who spend more	AC
212. Which type of Amazon RDS automated backup allows you to restore the database with a granularity of as little as 5 minutes?	A. Snapshot backup	B. Full backup	C. Incremental backup	D. Point-in-time recovery	D	
213. Which DynamoDB feature provides in-memory acceleration to tables that result in significant performance improvements?	A. Amazon ElastiCache	B. Amazon DynamoDB Accelerator (DAX)	C. Amazon EFS	D. Amazon CloudFront	B	
214. Which AWS service lets connected devices easily and securely interact with cloud applications and other devices?	A. Amazon Workspaces	B. AWS Directory Service	C. AWS IoT Core	D. AWS Server Migration Service (SMS)	C	
215. Which AWS service enables developers and data scientists to build, train, and deploy machine learning models?	A. Amazon Rekognition	B. Amazon Comprehend	C. Amazon SageMaker	D. Amazon MQ	C	
216. Which service provides alerts and remediation guidance when AWS is experiencing events that may impact you?	A. AWS Trusted Advisor	B. AWS Inspector	C. AWS Personal Health Dashboard	D. AWS Shield	C	
217. What are the primary benefits of using AWS Elastic Load Balancing? (Select TWO.)	A. High availability	B. Elasticity	C. Automation	D. Caching	E. Regional resilience	AB
218. What is an Edge location?	A. A public endpoint for Amazon S3	B. A content delivery network (CDN) endpoint for CloudFront	C. A virtual private gateway for VPN	D. A VPC peering connection endpoint	B	
219. What is the relationship between subnets and availability zones?	A. You can create one or more subnets within each availability zone	B. Subnets span across multiple availability zones	C. You can create one subnet per availability zone	D. Subnets contain one or more availability zones	A	
220. How can you configure Amazon Route 53 to monitor the health and performance of your application?	A. Using DNS lookups	B. Using Route 53 health checks	C. Using the Route 53 API	D. Using CloudWatch	B	
221. A developer needs a way to automatically provision a collection of AWS resources. Which AWS service is primarily used for deploying infrastructure as code?	A. AWS Elastic Beanstalk	B. AWS CloudFormation	C. AWS CodeDeploy	D. Jenkins	B	
222. How can a company connect from their on-premises network to VPCs in multiple regions using private connections?	A. AWS Managed VPN	B. AWS Direct Connect Gateway	C. Amazon CloudFront	D. Inter-Region VPC Peering	B	
223. Which of the following descriptions is incorrect in relation to the design of Availability Zones?	A. AZ’s have direct, low-latency, high throughput and redundant network connections between each other	B. Each AZ is designed as an independent failure zone	C. AZs are physically separated within a typical metropolitan region and are located in lower risk flood plains	D. Each subnet in a VPC is mapped to all AZs in the region	D	
224. When designing a VPC, what is the purpose of an Internet Gateway?	A. Provides Internet access for EC2 instances in private subnets	B. Enables Internet communications for instances in public subnets	C. It's a bastion host for inbound management connections	D. It's used for making VPN connections to a VPC	B	
225. What is the name of the online, self-service portal that AWS provides to enable customers to view reports and, such as PCI reports, and accept agreements?	A. AWS Compliance Portal	B. AWS Documentation Portal	C. AWS Artifact	D. AWS DocuFact	C	
226. What are two correct statements about AWS Organizations with consolidated billing? (Select TWO.)	A. Multiple bills are provided per organization	B. One bill provided for multiple accounts	C. Linked accounts lose their management independence	D. Volume pricing discounts applied across multiple accounts	E. CloudTrail can be configured per organization	BD
227. Which AWS IAM best practice recommends applying the minimum permissions necessary to perform a task when creating IAM policies?	A. Create individual IAM users	B. Use roles to delegate permissions	C. Grant least privilege	D. Enable MFA for privileged users	C	
228. What are the benefits of using IAM roles for applications that run on EC2 instances? (Select TWO.)	A. Easier to configure than using storing access keys within the EC2 instance	B. More secure than storing access keys within applications	C. Can apply multiple roles to a single instance	D. It is easier to manage IAM roles	E. Role credentials are permanent	BD
229. Under the AWS Shared Responsibility Model, which of the following is the customer NOT responsible for?	A. Adding firewall rules to security groups and network ACLs	B. Applying encryption to data stored on an EBS volume	C. Applying bucket policies to share Amazon S3 data	D. Installing firmware updates on host servers	D	
230. Which type of storage stores objects comprised of key, value pairs?	A. Amazon DynamoDB	B. Amazon EBS	C. Amazon EFS	D. Amazon S3	D	
231. Which type of EBS volumes can be encrypted?	A. Non-root volumes only	B. Both non-root and root volumes	C. Only non-root volumes created from snapshots	D. Only root volumes can have encryption applied at launch time	B	
232. What feature of Amazon S3 enables you to set rules to automatically transfer objects between different storage classes at defined time intervals?	A. Elastic Data Management	B. Object Lifecycle Management	C. Auto Lifecycle Scaling	D. S3 Archiving	B	
233. What charges are applicable to Amazon S3 Standard storage class? (Select TWO.)	A. Per GB/month storage fee	B. Retrieval fee	C. Minimum capacity charge per object	D. Data ingress	E. Data egress	AE
234. How can a company protect their Amazon S3 data from a regional disaster?	A. Archive to Amazon Glacier	B. Use Cross-Region Replication (CRR) to copy to another region	C. Use lifecycle actions to move to another S3 storage class	D. Enable Multi-Factor Authentication (MFA) delete	B	
235. Which AWS support plan provides email only support by Cloud Support Associates?	A. Basic	B. Developer	C. Business	D. Enterprise	B	
236. Which support plan is the lowest cost option that allows unlimited cases to be open?	A. Basic	B. Developer	C. Business	D. Enterprise	B	
237. Which service allows an organization to bring their own licensing on host hardware that is physically isolated from other AWS accounts?	A. EC2 Dedicated Instances	B. EC2 Spot Instances	C. EC2 Dedicated Hosts	D. EC2 Reserved Instances	C	
238. Which of the below is an example of optimizing for cost?	A. Choosing the fastest EC2 instance to ensure performance	B. Provision extra capacity to allow for growth	C. Replace an EC2 compute instance with AWS Lambda	D. Deploy resources with AWS CloudFormation	C	
239. Which service is used for caching data?	A. Amazon Simple Queue Service (SQS)	B. Amazon DynamoDB DAX	C. AWS Key Management Service (KMS)	D. Amazon Elastic File System (EFS)	B	
240. Which service is used introduce fault tolerance into an application architecture?	A. Amazon CloudFront	B. Amazon ElastiCache	C. Amazon Elastic Load Balancing	D. Amazon DynamoDB	C	
241. Which tools can you use to manage identities in IAM? (choose 2)	A. Amazon CloudWatch API	B. AWS Management Console	C. AWS Command Line Tools	D. EC2 Management Console	E. EC2 Management Console	BC
242. Which of the following would be good reasons to move from on-premises to the AWS Cloud? (Select TWO.)	A. Gain access to free technical support services	B. Reduce costs through easier right-sizing of workloads	C. Improve agility and elasticity	D. Gain end-to-end operational management of the entire infrastructure stack	E. Outsource all security responsibility	BC
243. Which service runs your application code only when needed without needing to run servers?	A. Amazon EC2	B. Amazon ECS	C. AWS Lambda	D. AWS LightSail	C	
244. Which AWS feature of Amazon EC2 allows an administrator to create a standardized image that can be used for launching new instances?	A. Amazon Golden Image	B. Amazon Block Template	C. Amazon Machine Image	D. Amazon EBS Mount Point	C	
245. What information must be entered into the AWS TCO Calculator?	A. The number of end users in your company	B. The number of applications in your company	C. The number of storage systems in your company	D. The number of servers in your company	D	
246. An Elastic IP Address can be remapped between EC2 instances across which boundaries?	A. Regions	B. Edge Locations	C. Availability Zones	D. DB Subnets	C	
247. Which AWS service can assist with providing recommended actions on cost optimization?	A. AWS Inspector	B. AWS Trusted Advisor	C. AWS Artifact	D. Amazon CloudWatch Events	B	
248. How can an online education company ensure their video courses play with minimal latency for their users around the world?	A. Use Amazon S3 Transfer Acceleration to speed up downloads	B. Use Amazon EBS Cross Region Replication to get the content close to the users	C. Use Amazon Aurora Global Database	D. Use Amazon CloudFront to get the content closer to users	D	
249. Which AWS security service provides a firewall at the subnet level within a VPC?	A. Security Group	B. IAM Policy	C. Bucket Policy	D. Network Access Control List	D	
250. Which services allow you to store files on AWS? (Select TWO.)	A. AWS Lambda	B. Amazon LightSail	C. Amazon EBS	D. Amazon EFS	E. Amazon SQS	CD
251. Which AWS program can help an organization to design, build, and manage their workloads on AWS?	A. APN Consulting Partners	B. APN Technology Consultants	C. AWS Business Development Manager	D. AWS Technical Account Manager	A	
252. Which of the following statements is correct about Amazon S3 cross-region replication?	A. Both source and destination S3 buckets must have versioning disabled	B. The source and destination S3 buckets cannot be in different AWS Regions	C. S3 buckets conﬁgured for cross-region replication can be owned by a single AWS account or by different accounts	D. The source S3 bucket owner must have the source and destination AWS Regions disabled for their account	C	
253. Which of the following Amazon EC2 pricing models allows customers to use existing server-bound software licenses?	A. Spot Instances	B. Reserved Instances	C. Dedicated Hosts	D. On-Demand Instances	C	
254. A company has deployed several relational databases on Amazon RDS. Every month, the database software vendor releases new security patches that need to be applied to the database. What is the MOST efficient way to apply the security patches?	A. Connect to each database instance on a monthly basis, and download and apply the necessary security patches from the vendor	B. Enable automatic patching for the instances using the Amazon RDS console	C. In AWS Config, conﬁgure a rule for the instances and the required patch level	D. Use AWS Systems Manager to automate database patching according to a schedule	B	
255. A Cloud Practitioner needs to rapidly deploy a popular IT solution and start using it immediately. What should the Cloud Practitioner use?	A. AWS Well-Architected Framework documentation	B. Amazon CloudFront	C. AWS Elastic Beanstalk	D. AWS Quick Start reference deployments	D	
256. A cloud practitioner needs to decrease application latency and increase performance for globally distributed users. Which services can assist? (Select TWO.)	A. Amazon ECS	B. Amazon S3	C. Amazon AppStream 2.0	D. Amazon ElastiCache	E. Amazon CloudFront	BE
257. A company needs protection from distributed denial of service (DDoS) attacks on its website and assistance from AWS experts during such events. Which AWS managed service will meet these requirements?	A. AWS Firewall Manager	B. AWS Web Application Firewall	C. Amazon GuardDuty	E. AWS Shield Advanced	A	
258. Which of the following must be used together to gain programmatic access to an AWS account? (Select TWO.)	A. An access key ID	B. A primary key	C. A secret access key	D. A user ID	E. A secondary key	AC
259. An application that is deployed across multiple Availability Zones could be described as:	A. Being highly available	B. Having global reach	C. Being secure	D. Having elasticity	A	
260. A Cloud Practitioner is developing a disaster recovery plan and intends to replicate data between multiple geographic areas. Which of the following meets these requirements?	A. AWS Accounts	B. AWS Regions	C. Availability Zones	D. Edge locations	B	
261. A user deploys an Amazon Aurora database instance in multiple Availability Zones. This strategy involves which pillar of the AWS Well-Architected Framework?	A. Performance efﬁciency	B. Reliability	C. Cost optimization	D. Security	B	
262. The AWS Cost Management tools give users the ability to do which of the following? (Select TWO.)	A. Terminate all AWS resources automatically if budget thresholds are exceeded	B. Break down AWS costs by day, service, and linked AWS account	C. Create budgets and receive notiﬁcations if current or forecasted usage exceeds the budgets	D. Switch automatically to Reserved Instances or Spot Instances, whichever is most cost-effective	E. Move data stored in Amazon S3 to a more cost-effective storage class	BC
263. Which AWS service or feature helps restrict the AWS service, resources, and individual API actions the users and roles in each member account can access?	A. Amazon Cognito	B. AWS Organizations	C. AWS Shield	D. AWS Firewall Manager	B	
264. Under the shared responsibility model, which of the following tasks are the responsibility of the AWS customer? (Select TWO.)	A. Ensuring that application data is encrypted at rest	B. Ensuring that AWS NTP servers are set to the correct time	C. Ensuring that users have received security training in the use of AWS services	D. Ensuring that access to data centers is restricted	E. Ensuring that hardware is disposed of properly	AC
265. Under the AWS shared responsibility model, which of the following are customer responsibilities? (Select TWO.)	A. Setting up server-side encryption on an Amazon S3 bucket	B. Amazon RDS instance patching	C. Network and ﬁrewall conﬁgurations	D. Physical security of data center facilities	E. Compute capacity availability	AC
266. A web application running on AWS has been received malicious requests from the same set of IP addresses. Which AWS service can help secure the application and block the malicious trafﬁc?	A. AWS IAM	B. Amazon GuardDuty	C. Amazon SNS	D. AWS WAF	D	
267. Which AWS service provides the ability to detect inadvertent data leaks of personally identiﬁable information (PII) and user credential data?	A. Amazon GuardDuty	B. Amazon Inspector	C. Amazon Macie	D. AWS Shield	C	
268. According to the AWS Well-Architected Framework, what change management steps should be taken to achieve reliability in the AWS Cloud? (Select TWO.)	A. Use AWS Conﬁg to generate an inventory of AWS resources	B. Use service limits to prevent users from creating or making changes to AWS resources	C. Use AWS CloudTrail to record AWS API calls into an auditable log ﬁle	D. Use AWS Certiﬁcate Manager to create a catalog of approved services	E. Use Amazon GuardDuty to record API activity to an S3 bucket	AC
269. Which of the following acts as a virtual ﬁrewall at the Amazon EC2 instance level to control traffic for one or more instances?	A. Route table	B. Virtual private gateways (VPG)	C. Security groups	D. Network Access Control Lists (ACL)	C	
270. Which AWS Cloud design principles can help increase reliability? (Select TWO.)	A. Using monolithic architecture	B. Measuring overall efﬁciency	C. Testing recovery procedures	D. Adopting a consumption model	E. Automatically recovering from failure	CE
271. Which pricing model will interrupt a running Amazon EC2 instance if capacity becomes temporarily unavailable?	A. On-Demand Instances	B. Standard Reserved Instances	C. Spot Instances	D. Convertible Reserved Instances	C	
272. Which of the following statements about AWS’s pay-as-you-go pricing model is correct?	A. It results in reduced capital expenditures	B. It requires payment up front for AWS services	C. It is relevant only for Amazon EC2, Amazon S3, and Amazon DynamoDB	D. It reduces operational expenditures	A	
273. Which AWS service can serve a static website?	A. Amazon S3	B. Amazon Route 53	C. Amazon QuickSight	D. AWS X-Ray	A	
274. A startup eCommerce company needs to quickly deliver new website features in an iterative manner, minimizing the time to market. Which AWS Cloud feature allows this?	A. Elasticity	B. High availability	C. Agility	D. Reliability	C	
275. What is the most efﬁcient way to establish network connectivity from on-premises to multiple VPCs in different AWS Regions?	A. Use AWS Direct Connect	B. Use AWS VPN	C. Use AWS Client VPN	D. Use an AWS Transit Gateway	D	
276. A company is using the AWS CLI and programmatic access of AWS resources from its on-premises network. What is a mandatory requirement in this scenario?	A. Using an AWS Direct Connect connection	B. Using an AWS access key and a secret key	C. Using Amazon API Gateway	D. Using an Amazon EC2 key pair	B	
277. Which AWS service is suitable for an event-driven workload?	A. Amazon EC2	B. AWS Elastic Beanstalk	C. AWS Lambda	D. Amazon Lumberyard	C	
278. Based on the shared responsibility model, which of the following security and compliance tasks is AWS responsible for?	A. Granting access to individuals and services	B. Encrypting data in transit	C. Updating Amazon EC2 host firmware	D. Updating operating systems	C	
279. Which AWS service can be used to run Docker containers?	A. AWS Lambda	B. Amazon ECR	C. AWS Fargate	D. Amazon AMI	C	
280. Which type of Elastic Load Balancer operates at the TCP connection level?	A. Application Load Balancer (ALB)	B. Network Load Balancer (NLB)	C. Classic Load Balancer (CLB)	D. Amazon Route 53 Load Balancer	B	
281. Which AWS technology can be referred to as a “virtual hard disk in the cloud”?	A. Amazon EFS Filesystem	B. Amazon S3 Bucket	C. Amazon EBS volume	D. Amazon ENI	C	
282. In which ways does AWS’ pricing model benefit organizations?	A. Eliminates licensing costs	B. Focus spend on capital expenditure, rather than operational expenditure	C. Reduce the cost of maintaining idle resources	D. Reduces the people cost of application development	C	
283. Which service allows you to monitor and troubleshoot systems using system and application log files generated by those systems?	A. CloudTrail Logs	B. CloudWatch Metrics	C. CloudWatch Logs	D. CloudTrail Metrics	C	
284. According to the AWS Shared Responsibility Model, which of the following is a shared control?	A. Operating system patching	B. Awareness and training	C. Protection of infrastructure	D. Client-side data encryption	B	
285. Where do Amazon Identity and Access Management (IAM) accounts need to be created for a global organization?	A. In each region where the users are located	B. Just create them once, as IAM is a global service	C. Create them globally, and then replicate them regionally	D. In each geographical area where the users are located	B	
286. What is the name for the top-level container used to hold objects within Amazon S3? © 2024 Digital Cloud Training 272	A. Folder	B. Directory	C. Instance Store	D. Bucket	D	
287. Which of the following are examples of horizontal scaling? (Select TWO.)	A. Add more CPU/RAM to existing instances as demand increases	B. Add more instances as demand increases	C. Requires a restart to scale up or down	D. Automatic scaling using services such as AWS Auto Scaling	E. Scalability is limited by maximum instance size	BD
288. Which resource should you use to access AWS security and compliance reports?	A. AWS Artifact	B. AWS Business Associate Addendum (BAA)	C. AWS IAM	D. AWS Organizations	A	
289. What methods are available for scaling an Amazon RDS database? (Select TWO.)	A. You can scale up by moving to a larger instance size	B. You can scale out automatically with EC2 Auto Scaling	C. You can scale up by increasing storage capacity	D. You can scale out by implementing Elastic Load Balancing	E. You can scale up automatically using AWS Auto Scaling	AC
290. Which type of scaling does Amazon EC2 Auto Scaling provide?	A. Vertical	B. Linear	C. Horizontal	D. Incremental	C	
291. Which feature of Amazon S3 enables you to create rules to control the transfer of objects between different storage classes?	A. Object sharing	B. Versioning	C. Lifecycle management	D. Bucket policies	C	
